test_GPE-STATE_PROVINCE/macro_types/recall/mean,test_ORGANIZATION-GOVERNMENT/macro_types/f1/mean,test_ORGANIZATION-HOTEL/macro_types/precision/mean,test_EVENT/macro_types/f1/mean,test_GPE-CITY/macro_types/recall/mean,test_PRODUCT/macro_types/precision/mean,test_SUBSTANCE-CHEMICAL/macro_types/f1/mean,test_FACILITY-AIRPORT/macro_types/recall/mean,test_SUBSTANCE/macro_types/precision/mean,test_WORK_OF_ART-PLAY/macro_types/f1/mean,test_ORGANIZATION-HOTEL/macro_types/f1/mean,test_PLANT/macro_types/f1/mean,test_EVENT-WAR/macro_types/precision/mean,test_FACILITY-AIRPORT/macro_types/f1/mean,test_LOCATION-REGION/macro_types/recall/mean,test_SUBSTANCE-DRUG/macro_types/precision/mean,test_ORGANIZATION-GOVERNMENT/macro_types/recall/mean,test/micro/recall/mean,test_GAME/macro_types/recall/mean,test_WORK_OF_ART-SONG/macro_types/recall/mean,test_LOCATION-REGION/macro_types/precision/mean,test_FACILITY/macro_types/f1/mean,test_ORGANIZATION-HOSPITAL/macro_types/f1/mean,test_LOCATION-CONTINENT/macro_types/precision/mean,test_FACILITY-HIGHWAY_STREET/macro_types/f1/mean,test_LOCATION-LAKE_SEA_OCEAN/macro_types/precision/mean,test_PERSON/macro_types/precision/mean,test_CONTACT_INFO-url/macro_types/f1/mean,test_WORK_OF_ART-BOOK/macro_types/f1/mean,test_LOCATION-CONTINENT/macro_types/f1/mean,test_CONTACT_INFO-url/macro_types/recall/mean,test_EVENT-WAR/macro_types/f1/mean,test_PLANT/macro_types/recall/mean,test_GPE-COUNTRY/macro_types/f1/mean,test_EVENT-WAR/macro_types/recall/mean,test_FACILITY-ATTRACTION/macro_types/precision/mean,test_LANGUAGE/macro_types/f1/mean,test_SUBSTANCE/macro_types/f1/mean,test_PRODUCT/macro_types/recall/mean,test_LOCATION/macro_types/recall/mean,test_DISEASE/macro_types/f1/mean,test_DISEASE/macro_types/precision/mean,test_SUBSTANCE-FOOD/macro_types/f1/mean,test_CONTACT_INFO/macro_types/precision/mean,test_GPE-STATE_PROVINCE/macro_types/precision/mean,test_ORGANIZATION/macro_types/precision/mean,test_FACILITY-BUILDING/macro_types/precision/mean,test_FACILITY-HIGHWAY_STREET/macro_types/precision/mean,test/macro_types/recall/mean,test_PRODUCT/macro_types/f1/mean,test_LAW/macro_types/precision/mean,test_ORGANIZATION/macro_types/recall/mean,test_PRODUCT-WEAPON/macro_types/f1/mean,test_ORGANIZATION-POLITICAL/macro_types/f1/mean,test_ORGANIZATION-GOVERNMENT/macro_types/precision/mean,test/macro_types/f1/mean,test_GAME/macro_types/precision/mean,test_WORK_OF_ART/macro_types/f1/mean,test_PLANT/macro_types/precision/mean,test_ORGANIZATION-MUSEUM/macro_types/recall/mean,test_LOCATION-RIVER/macro_types/recall/mean,test_WORK_OF_ART-SONG/macro_types/precision/mean,test_ORGANIZATION-EDUCATIONAL/macro_types/f1/mean,test_ANIMAL/macro_types/f1/mean,test_EVENT-HURRICANE/macro_types/f1/mean,test_CONTACT_INFO/macro_types/recall/mean,test_SUBSTANCE-FOOD/macro_types/precision/mean,test/macro_types/precision/mean,test_LOCATION/macro_types/f1/mean,test_WORK_OF_ART-SONG/macro_types/f1/mean,test_ORGANIZATION-RELIGIOUS/macro_types/f1/mean,test_FACILITY-ATTRACTION/macro_types/recall/mean,test/micro/precision/mean,test_ANIMAL/macro_types/precision/mean,test_ORGANIZATION-POLITICAL/macro_types/recall/mean,test_CONTACT_INFO/macro_types/f1/mean,test_SUBSTANCE/macro_types/recall/mean,test_ORGANIZATION-HOSPITAL/macro_types/precision/mean,test/macro_example/f1/mean,test_GPE/macro_types/f1/mean,test_PERSON/macro_types/f1/mean,test_EVENT/macro_types/recall/mean,test_FACILITY-AIRPORT/macro_types/precision/mean,test_LOCATION-LAKE_SEA_OCEAN/macro_types/recall/mean,test_EVENT/macro_types/precision/mean,test_FACILITY-BRIDGE/macro_types/recall/mean,test_ORGANIZATION-CORPORATION/macro_types/f1/mean,test_ORGANIZATION-EDUCATIONAL/macro_types/precision/mean,test_WORK_OF_ART-PLAY/macro_types/recall/mean,test_FACILITY-BRIDGE/macro_types/precision/mean,test_ORGANIZATION-HOTEL/macro_types/recall/mean,epoch/mean,test_GPE/macro_types/recall/mean,test_SUBSTANCE-DRUG/macro_types/f1/mean,test_FACILITY/macro_types/precision/mean,test_PRODUCT-VEHICLE/macro_types/recall/mean,test_WORK_OF_ART-BOOK/macro_types/precision/mean,test_FACILITY-HIGHWAY_STREET/macro_types/recall/mean,test_LAW/macro_types/recall/mean,test/macro_example/precision/mean,test_FACILITY/macro_types/recall/mean,test_LANGUAGE/macro_types/precision/mean,test_PRODUCT-WEAPON/macro_types/precision/mean,test_LAW/macro_types/f1/mean,test_FACILITY-BRIDGE/macro_types/f1/mean,test_GPE-CITY/macro_types/precision/mean,test_PRODUCT-VEHICLE/macro_types/f1/mean,test/micro/f1/mean,test_WORK_OF_ART/macro_types/precision/mean,test_SUBSTANCE-CHEMICAL/macro_types/recall/mean,test_GPE-STATE_PROVINCE/macro_types/f1/mean,test_CONTACT_INFO-url/macro_types/precision/mean,test_GPE/macro_types/precision/mean,test_LOCATION-RIVER/macro_types/f1/mean,test_ORGANIZATION-MUSEUM/macro_types/precision/mean,test_WORK_OF_ART-PLAY/macro_types/precision/mean,test_ORGANIZATION-CORPORATION/macro_types/recall/mean,test_LOCATION/macro_types/precision/mean,test_EVENT-HURRICANE/macro_types/recall/mean,test_FACILITY-BUILDING/macro_types/recall/mean,test_LOCATION-LAKE_SEA_OCEAN/macro_types/f1/mean,test_FACILITY-BUILDING/macro_types/f1/mean,test_EVENT-HURRICANE/macro_types/precision/mean,test_SUBSTANCE-CHEMICAL/macro_types/precision/mean,test_GPE-CITY/macro_types/f1/mean,test_ANIMAL/macro_types/recall/mean,test_LOCATION-REGION/macro_types/f1/mean,test_GPE-COUNTRY/macro_types/precision/mean,test_GAME/macro_types/f1/mean,test_SUBSTANCE-DRUG/macro_types/recall/mean,test_ORGANIZATION-MUSEUM/macro_types/f1/mean,test_LOCATION-RIVER/macro_types/precision/mean,test_ORGANIZATION-RELIGIOUS/macro_types/precision/mean,test_ORGANIZATION/macro_types/f1/mean,test_SUBSTANCE-FOOD/macro_types/recall/mean,test_FACILITY-ATTRACTION/macro_types/f1/mean,test_LOCATION-CONTINENT/macro_types/recall/mean,test_ORGANIZATION-POLITICAL/macro_types/precision/mean,test_PRODUCT-WEAPON/macro_types/recall/mean,test_PRODUCT-VEHICLE/macro_types/precision/mean,test_ORGANIZATION-EDUCATIONAL/macro_types/recall/mean,threshold/mean,test/macro_example/recall/mean,test_PERSON/macro_types/recall/mean,test_DISEASE/macro_types/recall/mean,test_WORK_OF_ART/macro_types/recall/mean,test_ORGANIZATION-CORPORATION/macro_types/precision/mean,test_LANGUAGE/macro_types/recall/mean,test_GPE-COUNTRY/macro_types/recall/mean,test_WORK_OF_ART-BOOK/macro_types/recall/mean,test_ORGANIZATION-HOSPITAL/macro_types/recall/mean,test_ORGANIZATION-RELIGIOUS/macro_types/recall/mean,test_GPE-STATE_PROVINCE/macro_types/recall/std,test_ORGANIZATION-GOVERNMENT/macro_types/f1/std,test_ORGANIZATION-HOTEL/macro_types/precision/std,test_EVENT/macro_types/f1/std,test_GPE-CITY/macro_types/recall/std,test_PRODUCT/macro_types/precision/std,test_SUBSTANCE-CHEMICAL/macro_types/f1/std,test_FACILITY-AIRPORT/macro_types/recall/std,test_SUBSTANCE/macro_types/precision/std,test_WORK_OF_ART-PLAY/macro_types/f1/std,test_ORGANIZATION-HOTEL/macro_types/f1/std,test_PLANT/macro_types/f1/std,test_EVENT-WAR/macro_types/precision/std,test_FACILITY-AIRPORT/macro_types/f1/std,test_LOCATION-REGION/macro_types/recall/std,test_SUBSTANCE-DRUG/macro_types/precision/std,test_ORGANIZATION-GOVERNMENT/macro_types/recall/std,test/micro/recall/std,test_GAME/macro_types/recall/std,test_WORK_OF_ART-SONG/macro_types/recall/std,test_LOCATION-REGION/macro_types/precision/std,test_FACILITY/macro_types/f1/std,test_ORGANIZATION-HOSPITAL/macro_types/f1/std,test_LOCATION-CONTINENT/macro_types/precision/std,test_FACILITY-HIGHWAY_STREET/macro_types/f1/std,test_LOCATION-LAKE_SEA_OCEAN/macro_types/precision/std,test_PERSON/macro_types/precision/std,test_CONTACT_INFO-url/macro_types/f1/std,test_WORK_OF_ART-BOOK/macro_types/f1/std,test_LOCATION-CONTINENT/macro_types/f1/std,test_CONTACT_INFO-url/macro_types/recall/std,test_EVENT-WAR/macro_types/f1/std,test_PLANT/macro_types/recall/std,test_GPE-COUNTRY/macro_types/f1/std,test_EVENT-WAR/macro_types/recall/std,test_FACILITY-ATTRACTION/macro_types/precision/std,test_LANGUAGE/macro_types/f1/std,test_SUBSTANCE/macro_types/f1/std,test_PRODUCT/macro_types/recall/std,test_LOCATION/macro_types/recall/std,test_DISEASE/macro_types/f1/std,test_DISEASE/macro_types/precision/std,test_SUBSTANCE-FOOD/macro_types/f1/std,test_CONTACT_INFO/macro_types/precision/std,test_GPE-STATE_PROVINCE/macro_types/precision/std,test_ORGANIZATION/macro_types/precision/std,test_FACILITY-BUILDING/macro_types/precision/std,test_FACILITY-HIGHWAY_STREET/macro_types/precision/std,test/macro_types/recall/std,test_PRODUCT/macro_types/f1/std,test_LAW/macro_types/precision/std,test_ORGANIZATION/macro_types/recall/std,test_PRODUCT-WEAPON/macro_types/f1/std,test_ORGANIZATION-POLITICAL/macro_types/f1/std,test_ORGANIZATION-GOVERNMENT/macro_types/precision/std,test/macro_types/f1/std,test_GAME/macro_types/precision/std,test_WORK_OF_ART/macro_types/f1/std,test_PLANT/macro_types/precision/std,test_ORGANIZATION-MUSEUM/macro_types/recall/std,test_LOCATION-RIVER/macro_types/recall/std,test_WORK_OF_ART-SONG/macro_types/precision/std,test_ORGANIZATION-EDUCATIONAL/macro_types/f1/std,test_ANIMAL/macro_types/f1/std,test_EVENT-HURRICANE/macro_types/f1/std,test_CONTACT_INFO/macro_types/recall/std,test_SUBSTANCE-FOOD/macro_types/precision/std,test/macro_types/precision/std,test_LOCATION/macro_types/f1/std,test_WORK_OF_ART-SONG/macro_types/f1/std,test_ORGANIZATION-RELIGIOUS/macro_types/f1/std,test_FACILITY-ATTRACTION/macro_types/recall/std,test/micro/precision/std,test_ANIMAL/macro_types/precision/std,test_ORGANIZATION-POLITICAL/macro_types/recall/std,test_CONTACT_INFO/macro_types/f1/std,test_SUBSTANCE/macro_types/recall/std,test_ORGANIZATION-HOSPITAL/macro_types/precision/std,test/macro_example/f1/std,test_GPE/macro_types/f1/std,test_PERSON/macro_types/f1/std,test_EVENT/macro_types/recall/std,test_FACILITY-AIRPORT/macro_types/precision/std,test_LOCATION-LAKE_SEA_OCEAN/macro_types/recall/std,test_EVENT/macro_types/precision/std,test_FACILITY-BRIDGE/macro_types/recall/std,test_ORGANIZATION-CORPORATION/macro_types/f1/std,test_ORGANIZATION-EDUCATIONAL/macro_types/precision/std,test_WORK_OF_ART-PLAY/macro_types/recall/std,test_FACILITY-BRIDGE/macro_types/precision/std,test_ORGANIZATION-HOTEL/macro_types/recall/std,epoch/std,test_GPE/macro_types/recall/std,test_SUBSTANCE-DRUG/macro_types/f1/std,test_FACILITY/macro_types/precision/std,test_PRODUCT-VEHICLE/macro_types/recall/std,test_WORK_OF_ART-BOOK/macro_types/precision/std,test_FACILITY-HIGHWAY_STREET/macro_types/recall/std,test_LAW/macro_types/recall/std,test/macro_example/precision/std,test_FACILITY/macro_types/recall/std,test_LANGUAGE/macro_types/precision/std,test_PRODUCT-WEAPON/macro_types/precision/std,test_LAW/macro_types/f1/std,test_FACILITY-BRIDGE/macro_types/f1/std,test_GPE-CITY/macro_types/precision/std,test_PRODUCT-VEHICLE/macro_types/f1/std,test/micro/f1/std,test_WORK_OF_ART/macro_types/precision/std,test_SUBSTANCE-CHEMICAL/macro_types/recall/std,test_GPE-STATE_PROVINCE/macro_types/f1/std,test_CONTACT_INFO-url/macro_types/precision/std,test_GPE/macro_types/precision/std,test_LOCATION-RIVER/macro_types/f1/std,test_ORGANIZATION-MUSEUM/macro_types/precision/std,test_WORK_OF_ART-PLAY/macro_types/precision/std,test_ORGANIZATION-CORPORATION/macro_types/recall/std,test_LOCATION/macro_types/precision/std,test_EVENT-HURRICANE/macro_types/recall/std,test_FACILITY-BUILDING/macro_types/recall/std,test_LOCATION-LAKE_SEA_OCEAN/macro_types/f1/std,test_FACILITY-BUILDING/macro_types/f1/std,test_EVENT-HURRICANE/macro_types/precision/std,test_SUBSTANCE-CHEMICAL/macro_types/precision/std,test_GPE-CITY/macro_types/f1/std,test_ANIMAL/macro_types/recall/std,test_LOCATION-REGION/macro_types/f1/std,test_GPE-COUNTRY/macro_types/precision/std,test_GAME/macro_types/f1/std,test_SUBSTANCE-DRUG/macro_types/recall/std,test_ORGANIZATION-MUSEUM/macro_types/f1/std,test_LOCATION-RIVER/macro_types/precision/std,test_ORGANIZATION-RELIGIOUS/macro_types/precision/std,test_ORGANIZATION/macro_types/f1/std,test_SUBSTANCE-FOOD/macro_types/recall/std,test_FACILITY-ATTRACTION/macro_types/f1/std,test_LOCATION-CONTINENT/macro_types/recall/std,test_ORGANIZATION-POLITICAL/macro_types/precision/std,test_PRODUCT-WEAPON/macro_types/recall/std,test_PRODUCT-VEHICLE/macro_types/precision/std,test_ORGANIZATION-EDUCATIONAL/macro_types/recall/std,threshold/std,test/macro_example/recall/std,test_PERSON/macro_types/recall/std,test_DISEASE/macro_types/recall/std,test_WORK_OF_ART/macro_types/recall/std,test_ORGANIZATION-CORPORATION/macro_types/precision/std,test_LANGUAGE/macro_types/recall/std,test_GPE-COUNTRY/macro_types/recall/std,test_WORK_OF_ART-BOOK/macro_types/recall/std,test_ORGANIZATION-HOSPITAL/macro_types/recall/std,test_ORGANIZATION-RELIGIOUS/macro_types/recall/std
0.45435897509257,0.28925928473472595,0.07367044438918431,0.14014324049154916,0.11224780262758334,0.12440910935401917,0.0,0.0,0.5798360705375671,0.0,0.12830688059329987,0.13580246766408285,0.002020201956232389,0.0,0.10025063032905261,0.48883573214213055,0.20059752464294434,0.3995761771996816,0.0,0.0,0.2596216599146525,0.0,0.07078853001197179,0.4371723731358846,0.0,0.0,0.4972820083300273,0.0,0.011695905278126398,0.5179595549901327,0.0,0.0037878789007663727,0.15277778108914694,0.2987751276232302,0.03030303120613098,0.0,0.10144927104314168,0.5356535116831461,0.35405872265497845,0.5423497358957926,0.37873050570487976,0.34756335616111755,0.4495197335879008,0.0,0.5305573542912801,0.6792786518732706,0.0,0.0,0.22774364612996578,0.17716055115063986,0.15585797280073166,0.7605009277661642,0.0,0.35259191195170086,0.5186331669489542,0.2180642324189345,0.0,0.1468926966190338,0.12222222487131755,0.0,0.5111111203829447,0.0,0.22073189169168472,0.3308326204617818,0.5918128689130148,0.0,0.5310344894727071,0.21088185720145702,0.2622719506422679,0.0,0.10416667660077412,0.0,0.5516755779584249,0.33166249593098956,0.3561643759409587,0.0,0.5048943956693014,0.03814002126455307,0.4313722451527913,0.47550084193547565,0.20205955766141415,0.1333333303531011,0.0,0.0,0.14820866286754608,0.0,0.3408813675244649,0.2853912313779195,0.0,0.0,0.5,14.333333333333334,0.4471254150072734,0.3010265976190567,0.0,0.21698113779226938,0.014492753893136978,0.0,0.3698630134264628,0.5229955315589905,0.0,0.07070707281430562,0.0,0.208651269475619,0.0,0.6235565741856893,0.20171416799227396,0.4619426627953847,0.10657663643360138,0.0,0.4892655611038208,0.0,0.5077353517214457,0.15971015393733978,0.0,0.0,0.23752403259277344,0.18659104903539023,0.625,0.0,0.0,0.0,0.5757575829823812,0.0,0.16657203249633312,0.3333333432674408,0.13464543720086417,0.34973544130722684,0.0,0.2356321836511294,0.0,0.09467787543932597,0.06410256524880727,0.6789385676383972,0.40980392694473267,0.0,0.6354166666666666,0.3493589758872986,0.0,0.21183748046557108,0.22424243142207465,0.5,0.3721893827120463,0.15229784324765205,0.5629629691441854,0.29015543063481647,0.6049216787020365,0.17948718865712485,0.2835963611335804,0.009803921605149904,0.5,0.2777777711550395,0.40064248294866545,0.2539936918894659,0.063845509289743,0.14192420289347832,0.18129193783170164,0.12330297047553161,0.0,0.0,0.5045763068018901,0.0,0.111134731137963,0.23521677378742104,0.0034990924297445348,0.0,0.14835738518805366,0.46312931010204267,0.17579113305278554,0.14631239282339661,0.0,0.0,0.24760859828943932,0.0,0.06542445851303999,0.37887819463092554,0.0,0.0,0.44731356094739044,0.0,0.020257902182227925,0.4490356518127709,0.0,0.006560798709045507,0.2646188791140381,0.5126564347635654,0.052486389672364055,0.0,0.17571529183754747,0.4648572935235983,0.3133894218050476,0.46990763480165654,0.4745915429987442,0.492460976847694,0.41280296655309656,0.0,0.462458931361669,0.1999316530275415,0.0,0.0,0.19464485515314817,0.16361589021205666,0.19828004561482926,0.22057259839738905,0.0,0.3188547567361536,0.4580477352298503,0.18800694709868068,0.0,0.12723377302945355,0.21169510329123045,0.0,0.4438885490897328,0.0,0.2838907211162922,0.34135558903747965,0.5145507690698141,0.0,0.45990228568287433,0.18107642400573795,0.2786146605666167,0.0,0.18042197632813692,0.0,0.12771193077927814,0.3598593811678609,0.3192104060045149,0.0,0.44634616982131087,0.03505976819933334,0.14859173739302883,0.41431625818142626,0.33809036416629956,0.1312995879885553,0.0,0.0,0.15478510228764367,0.0,0.29568442415567026,0.2554211808524395,0.0,0.0,0.43588989572149184,5.033222956847166,0.38984295608796343,0.38084042200900986,0.0,0.20430574070840885,0.025102186084504895,0.0,0.3324564650817888,0.11592940175540584,0.0,0.12246824256884947,0.0,0.24414488447040328,0.0,0.5438737731068775,0.1746897665378129,0.14366802912491783,0.09517739294126032,0.0,0.42884148910002445,0.0,0.44209639286319297,0.1383137339004132,0.0,0.0,0.20643783594153553,0.21707758182223427,0.5448623679425842,0.0,0.0,0.0,0.5169309761834718,0.0,0.26276911926086394,0.32632842455828,0.18806111238834125,0.512554226020109,0.0,0.3227102301082266,0.0,0.08199775142046933,0.11102889990643326,0.0756179566400769,0.4117787165037964,0.0,0.5511735821937889,0.3189545458374616,0.0,0.1986459570980565,0.3274410483761599,0.0,0.1592893106670328,0.257765682590575,0.4920771508466463,0.30105364962595244,0.5239368360399547,0.3108809300618405,0.488720403913384,0.01698089033354186,0.5,0.48112521285376886
0.8615384697914124,0.6505407492319742,0.20353410144646963,0.2784561018149058,0.5504404703776041,0.34610817829767865,0.3447982569535573,0.0,0.8034108678499857,0.0052910055965185165,0.3251068939765294,0.3673657973607381,0.5142390330632528,0.0,0.5313283105691274,0.8062015473842621,0.500640203555425,0.5422045489152273,0.03278688589731852,0.0,0.5776293277740479,0.0,0.08145411064227422,0.5496212045351664,0.0,0.06666666766007741,0.720769206682841,0.0,0.08022623571256797,0.7021873990694681,0.0,0.5401954253514608,0.5138888955116272,0.7748452226320902,0.8181818326314291,0.0,0.42283950249354046,0.8213942249615988,0.5284973978996277,0.8961748480796814,0.8553921778996786,1.0,0.6323313514391581,0.0,0.9373575448989868,0.8253856301307678,0.0,0.0,0.4536828895409902,0.415314922730128,0.48351656397183734,0.7766193350156149,0.0,0.6648390789826711,0.9351445039113363,0.4178812305132548,0.22222222884496054,0.2519640475511551,0.31785043080647785,0.0,0.6000000238418579,0.0,0.2888069500525792,0.7707757751146952,0.38042470812797546,0.0,0.533946692943573,0.3873718281586965,0.41960689425468445,0.0,0.28917749722798664,0.0,0.6607117454210917,0.8043379982312521,0.6940639217694601,0.0,0.8413189053535461,0.0424931471546491,0.5524941682815552,0.7750172019004822,0.21571880159899592,0.5208333432674408,0.0,0.03030303120613098,0.22669887294371924,0.0,0.4891407787799835,0.26041364173094433,0.07407407462596893,0.0,0.8666666547457377,19.0,0.6547512610753378,0.7439839442571005,0.0,0.5691823860009512,0.05285255517810583,0.0,0.9406392574310303,0.6137361526489258,0.0,0.43939393758773804,0.0,0.6206312477588654,0.0,0.9428790410359701,0.5091310938199362,0.5954886674880981,0.152669924000899,0.3020833283662796,0.8948348959287008,0.0,0.9634950359662374,0.18572475264469782,0.0,0.0027434841419259706,0.3305651644865672,0.2760684738556544,0.75,0.0,0.041666666666666664,0.0,0.27662142366170883,0.5176691710948944,0.6819772919019064,0.75,0.5530556341012319,0.9757275780042013,0.057142858703931175,0.7816091974576315,0.0,0.11540691430370013,0.19605263570944467,0.7990766962369283,0.8058823545773824,0.0,0.984375,0.665954977273941,0.0,0.4821924964586894,0.35151515404383343,0.5,0.5027397374312083,0.13891797854254642,0.7555555701255798,0.7944732308387756,0.9692010283470154,0.4102564255396525,0.6437111496925354,0.1666666679084301,1.0,0.5555555522441864,0.05698542683618545,0.05051820987604481,0.07822485902173992,0.1100217071179565,0.18564544914120495,0.06511518995016254,0.03433705994149613,0.0,0.011048815976328289,0.009164290516301346,0.10259247134055673,0.049553472882994054,0.43472243693697155,0.0,0.10152694824310547,0.33566876635868764,0.06054590822445646,0.06073181717169638,0.05678855219611918,0.0,0.07164950530362701,0.0,0.013965202536376528,0.0938469438507257,0.0,0.11547005555856305,0.3654654716927607,0.0,0.11220571323303816,0.07858326383809672,0.0,0.28395392508529993,0.2405626236332633,0.03508038410864861,0.15745915181071332,0.0,0.3840453801264746,0.023246111703298034,0.01554405689239502,0.02470374354078845,0.09708484317818625,0.0,0.08460683197695515,0.0,0.07405921028914143,0.025793892995180274,0.0,0.0,0.022499107796730866,0.04097364143508622,0.21877526698562008,0.052378854843699175,0.0,0.16067850269635836,0.0066296813151458115,0.024978295384528518,0.38490019093066974,0.10056571762533582,0.0959128027143994,0.0,0.0,0.0,0.11798438398077413,0.08291505045900165,0.2096579762158259,0.0,0.13415825706876022,0.02659466957056938,0.062025636732601905,0.0,0.10913213007420969,0.0,0.049593210284320774,0.15901361535069214,0.08699799802489841,0.0,0.049947656899378766,0.007620058545011844,0.06464472038466404,0.09289439912060829,0.2531607125926119,0.2379381900103826,0.0,0.052486389672364055,0.12439787575549176,0.0,0.09069998243643763,0.11517287535063626,0.12830006077582679,0.0,0.05773500627130796,1.0,0.12612600191612222,0.14846110056483147,0.0,0.1051932425698245,0.07340617585424827,0.0,0.007908877627029213,0.05485074511937557,0.0,0.41244416686984925,0.0,0.18040658049154673,0.0,0.015867055087613043,0.08173900079344003,0.056698010414783055,0.07176050718990244,0.05807233111267365,0.01725248780544199,0.0,0.004118310397545623,0.11060741994446652,0.0,0.004751853923575286,0.08399717447554039,0.05354481832593958,0.0,0.0,0.07216878364870323,0.0,0.17453711513949194,0.3362294168229987,0.15003602327629825,0.03260868787765503,0.08770121010251619,0.017106927107085067,0.09897433456493823,0.13936042556984327,0.0,0.07633915993078194,0.06916348676091226,0.02095103686618334,0.10034543042020173,0.0,0.0,0.24532758596277834,0.0,0.14666396520592156,0.194412298899426,0.0,0.07046835976640815,0.1742696327432053,0.14572084740996016,0.030359934660860604,0.016983618019091214,0.36352429090827276,0.04995493056506737,0.2377324657449847,0.0,0.254587523434058
